,Need You Now_Lady Antebellum
0,hillary
1,scott
2,charles
3,kelley
4,hey
5,sorry
6,missed
7,call
8,leave
9,message
10,beep
11,hey
12,yeah
13,thinking
14,everything
15,night
16,know
17,miss
18,much
19,call
20,back
21,hillary
22,scott
23,picture
24,perfect
25,memories
26,scattered
27,around
28,floor
29,reachin'
30,phone
31,'cause
32,can't
33,fight
34,anymore
35,prechorus
36,hillary
37,scott
38,charles
39,kelley
40,wonder
41,ever
42,cross
43,mind
44,happens
45,time
46,lady
47,antebellum
48,quarter
49,one
50,i'm
51,alone
52,need
53,said
54,call
55,i've
56,lost
57,control
58,need
59,know
60,without
61,need
62,charles
63,kelley
64,another
65,shot
66,whiskey
67,can't
68,stop
69,lookin'
70,door
71,wishing
72,come
73,sweeping
74,way
75,prechorus
76,lady
77,antebellum
78,charles
79,kelley
80,wonder
81,ever
82,cross
83,mind
84,happens
85,time
86,lady
87,antebellum
88,quarter
89,one
90,i'm
91,little
92,drunk
93,need
94,said
95,call
96,i've
97,lost
98,control
99,need
100,know
101,without
102,need
103,whoa
104,oh
105,hillary
106,scott
107,charles
108,kelley
109,guess
110,i'd
111,rather
112,hurt
113,feel
114,nothin'
115,hillary
116,scott
117,charles
118,kelley
119,lady
120,antebellum
121,quarter
122,one
123,i'm
124,alone
125,need
126,said
127,call
128,i'm
129,little
130,drunk
131,need
132,know
133,without
134,need
135,lady
136,antebellum
137,hillary
138,scott
139,need
140,oh
141,baby
142,need
